"date","close","volume"
2019-01-02,267.660004,11679500
2019-01-03,271.200012,14969600
2019-01-04,297.570007,19330100
2019-01-07,315.339996,18620100
2019-01-08,320.269989,15359200
2019-01-09,319.959991,13343200
2019-01-10,324.660004,13472500
2019-01-11,337.589996,19500400
2019-01-14,332.940002,10499600
2019-01-15,354.640015,21181200
2019-01-16,351.390015,15385500
2019-01-17,353.190002,18871200
2019-01-18,339.100006,26621000
2019-01-22,325.160004,17941400
2019-01-23,321.98999,13480100
2019-01-24,326.670013,11131600
2019-01-25,338.049988,11152900
2019-01-28,335.660004,8652100
2019-01-29,328.899994,7655200
2019-01-30,340.660004,9234500
2019-01-31,339.5,8535500
2019-02-01,339.850006,9827800
2019-02-04,351.339996,9051400
2019-02-05,355.809998,9046600
2019-02-06,352.190002,6717700
2019-02-07,344.709991,7864500
2019-02-08,347.570007,7561400
2019-02-11,345.730011,5454900
2019-02-12,359.970001,10429400
2019-02-13,351.769989,10559100
2019-02-14,359.070007,9295300
2019-02-15,356.869995,9230000
2019-02-19,361.920013,7396600
2019-02-20,359.910004,8110700
2019-02-21,356.970001,6227900
2019-02-22,363.019989,7088200
2019-02-25,363.910004,7569300
2019-02-26,364.970001,4944600
2019-02-27,362.869995,5629900
2019-02-28,358.100006,6186800
2019-03-01,357.320007,5526500
2019-03-04,351.040009,7487000
2019-03-05,354.299988,5937800
2019-03-06,359.609985,6211900
2019-03-07,352.600006,6151300
2019-03-08,349.600006,6898800
2019-03-11,358.859985,5387300
2019-03-12,356.269989,5164600
2019-03-13,361.209991,6444100
2019-03-14,358.820007,5271400
2019-03-15,361.459991,8444500
2019-03-18,363.440002,7194700
2019-03-19,358.779999,7541400
2019-03-20,375.220001,10917200
2019-03-21,377.869995,8544000
2019-03-22,361.01001,8661300
2019-03-25,366.230011,8473800
2019-03-26,359.970001,7666500
2019-03-27,353.369995,7852400
2019-03-28,354.609985,4361000
2019-03-29,356.559998,4705600
2019-04-01,366.959991,7036100
2019-04-02,367.720001,5158700
2019-04-03,369.75,5368900
2019-04-04,367.880005,4627300
2019-04-05,365.48999,3905500
2019-04-08,361.410004,4653800
2019-04-09,364.709991,5439200
2019-04-10,363.920013,4545600
2019-04-11,367.649994,6526900
2019-04-12,351.140015,15646200
2019-04-15,348.869995,8842300
2019-04-16,359.459991,18740200
2019-04-17,354.73999,18054100
2019-04-18,360.350006,8353200
2019-04-22,377.339996,11980500
2019-04-23,381.890015,10089800
2019-04-24,374.230011,6541900
2019-04-25,368.329987,6255500
2019-04-26,374.850006,5621900
2019-04-29,371.829987,3821700
2019-04-30,370.540009,3870100
2019-05-01,378.809998,9257300
2019-05-02,379.059998,5398200
2019-05-03,385.029999,5130300
2019-05-06,378.670013,5793100
2019-05-07,370.459991,6974900
2019-05-08,364.369995,6572000
2019-05-09,362.75,5882600
2019-05-10,361.040009,5657100
2019-05-13,345.26001,8026700
2019-05-14,345.609985,5353000
2019-05-15,354.98999,6340100
2019-05-16,359.309998,6441500
2019-05-17,354.450012,4725400
2019-05-20,348.109985,4621500
2019-05-21,354.269989,4026400
2019-05-22,359.730011,6229400
2019-05-23,352.209991,5630400
2019-05-24,354.390015,3831000
2019-05-28,355.059998,4717100
2019-05-29,349.190002,5658900
2019-05-30,351.850006,4008000
2019-05-31,343.279999,5023400
2019-06-03,336.630005,7849600
2019-06-04,353.399994,7891600
2019-06-05,355.730011,5020100
2019-06-06,357.130005,3710000
2019-06-07,360.869995,4777300
2019-06-10,352.01001,7810300
2019-06-11,351.269989,5396700
2019-06-12,345.559998,4584700
2019-06-13,343.429993,6209300
2019-06-14,339.730011,5019000
2019-06-17,350.619995,5358200
2019-06-18,357.119995,5428500
2019-06-19,363.519989,5667200
2019-06-20,365.209991,5899500
2019-06-21,369.209991,7448400
2019-06-24,371.040009,4830200
